Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
1,Const,,1.46,1900,1900,,,
2,C sp3,H3C,-0.07,1800,875,[CH3$([#6][#6])],,
3,C sp3,H3N,3.42,131,87,[CH3$([#6][#7])],,
4,C sp3,H3N(+),1.42,1,1,[CH3$([#6][N+])],,
5,C sp3,H3O,2.24,292,219,[CH3$([#6][#8])],,
6,C sp3,H3S,1.51,30,26,[CH3$([#6][#16])],,
7,C sp3,H3P,-0.42,3,3,[CH3$([#6][#15])],,
8,C sp3,H3Si,0.42,68,11,[CH3$([#6][#14])],,
9,C sp3,H2C2,0.43,1732,538,[CH2$([#6]([#6])[#6])],,
10,C sp3,H2CN,3.91,191,129,[CH2$([#6]([#6])[#7])],,
11,C sp3,H2CN(+),1.64,6,5,[CH2$([#6]([#6])[N+])],,
12,C sp3,H2CO,2.61,535,342,[CH2$([#6]([#6])[#8])],,
13,C sp3,H2CS,1.76,57,44,[CH2$([#6]([#6])[#16])],,
14,C sp3,H2CP,2.58,3,3,[CH2$([#6]([#6])[#15])],,
15,C sp3,H2CF,-0.77,3,3,[CH2$([#6]([#6])F)],,
16,C sp3,H2CCl,0.71,75,56,[CH2$([#6]([#6])Cl)],,
17,C sp3,H2CBr,1.05,23,18,[CH2$([#6]([#6])Br)],,
18,C sp3,H2CJ,1.13,5,5,[CH2$([#6]([#6])I)],,
19,C sp3,H2CSi,2.91,4,4,[CH2$([#6]([#6])[#14])],,
20,C sp3,H2N2,4.89,8,3,[CH2$([#6]([#7])[#7])],,
21,C sp3,H2NO,5.65,9,8,[CH2$([#6]([#7])[#8])],,
22,C sp3,H2NS,4.67,5,5,[CH2$([#6]([#7])[#16])],,
23,C sp3,H2O2,4.78,6,4,[CH2$([#6]([#8])[#8])],,
24,C sp3,H2S2,3.74,4,4,[CH2$([#6]([#16])[#16])],,
25,C sp3,HC3,0.64,268,180,[CH1$([#6]([#6])([#6])[#6])],,
26,C sp3,HC2N,4.08,64,53,[CH1$([#6]([#6])([#6])[#7])],,
27,C sp3,HC2N(+),2.05,1,1,[CH1$([#6]([#6])([#6])[N+])],,
