Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
1,Const,,0.73,3332,3332,,,
2,B(),F4,2.71,10,10,[B$(B(F)(F)(F)F)],,
3,C sp3,H3C,0.27,2614,1498,[CH3$([#6][#6])],,
4,C sp3,H3N,0.14,457,320,[CH3$([#6][#7])],,
5,C sp3,H3N(+),-1.35,2,2,[CH3$([#6][N+])],,
6,C sp3,H3O,-0.26,375,285,[CH3$([#6][#8])],,
7,C sp3,H3P,-0.3,4,4,[CH3$([#6][#15])],,
8,C sp3,H3S,-0.34,61,53,[CH3$([#6][#16])],,
9,C sp3,H3Si,0.76,44,5,[CH3$([#6][#14])],,
10,C sp3,H2C2,0.44,3262,1046,[CH2$([#6]([#6])[#6])],,
11,C sp3,H2CN,0.42,741,429,[CH2$([#6]([#6])[#7])],,
12,C sp3,H2CN(+),-0.86,32,25,[CH2$([#6]([#6])[N+])],,
13,C sp3,H2CO,-0.1,799,604,[CH2$([#6]([#6])[#8])],,
14,C sp3,H2CS,-0.33,97,69,[CH2$([#6]([#6])[#16])],,
15,C sp3,H2CF,-0.29,5,5,[CH2$([#6]([#6])F)],,
16,C sp3,H2CCl,0.33,84,67,[CH2$([#6]([#6])Cl)],,
17,C sp3,H2CBr,0.41,54,48,[CH2$([#6]([#6])Br)],,
18,C sp3,H2CJ,1.08,6,6,[CH2$([#6]([#6])I)],,
19,C sp3,H2CP,2.77,1,1,[CH2$([#6]([#6])[#15])],,
20,C sp3,H2N2,2.05,3,3,[CH2$([#6]([#7])[#7])],,
21,C sp3,H2NO,0.46,4,4,[CH2$([#6]([#7])[#8])],,
22,C sp3,H2NS,0.72,3,3,[CH2$([#6]([#7])[#16])],,
23,C sp3,H2O2,-0.17,6,6,[CH2$([#6]([#8])[#8])],,
24,C sp3,H2S2,-0.86,6,6,[CH2$([#6]([#16])[#16])],,
25,C sp3,HC3,0.45,417,269,[CH1$([#6]([#6])([#6])[#6])],,
26,C sp3,HC2N,0.58,200,157,[CH1$([#6]([#6])([#6])[#7])],,
27,C sp3,HC2N(+),-0.73,25,24,[CH1$([#6]([#6])([#6])[N+])],,
28,C sp3,HC2O,0.1,383,241,[CH1$([#6]([#6])([#6])[#8])],,
29,C sp3,HC2S,-0.21,8,8,[CH1$([#6]([#6])([#6])[#16])],,
30,C sp3,HC2F,-0.36,2,2,[CH1$([#6]([#6])([#6])F)],,
31,C sp3,HC2Cl,0.69,64,22,[CH1$([#6]([#6])([#6])Cl)],,
32,C sp3,HC2Br,0.81,26,22,[CH1$([#6]([#6])([#6])Br)],,
33,C sp3,HCN2,1.2,6,5,[CH1$([#6]([#6])([#7])[#7])],,
34,C sp3,HCNO,1.15,17,17,[CH1$([#6]([#6])([#7])[#8])],,
35,C sp3,HCNS,0.9,25,25,[CH1$([#6]([#6])([#7])[#16])],,
36,C sp3,HCO2,-0.02,31,22,[CH1$([#6]([#6])([#8])[#8])],,
37,C sp3,HCOS,0.6,3,3,[CH1$([#6]([#6])([#8])[#16])],,
38,C sp3,HCOCl,0.19,3,1,[CH1$([#6]([#6])([#8])Cl)],,
39,C sp3,HCOBr,1.03,1,1,[CH1$([#6]([#6])([#8])Br)],,
40,C sp3,HCOP,0.31,1,1,[CH1$([#6]([#6])([#8])[#15])],,
41,C sp3,HCF2,-0.02,2,2,[CH1$([#6]([#6])(F)F)],,
42,C sp3,HCCl2,0.93,13,12,[CH1$([#6]([#6])(Cl)Cl)],,
43,C sp3,HOF2,-0.04,1,1,[CH1$([#6]([#8])(F)F)],,
44,C sp3,C4,0.54,144,111,[CH0$([#6]([#6])([#6])([#6])[#6])],,
45,C sp3,C3N,0.71,37,36,[CH0$([#6]([#6])([#6])([#6])[#7])],,
46,C sp3,C3N(+),-0.43,6,6,[C$([#6]([#6])([#6])([#6])[N+])],,
47,C sp3,C3O,0.04,54,52,[CH0$([#6]([#6])([#6])([#6])[#8])],,
48,C sp3,C3S,-0.1,17,17,[CH0$([#6]([#6])([#6])([#6])[#16])],,
49,C sp3,C3F,0.94,4,4,[CH0$([#6]([#6])([#6])([#6])F)],,
50,C sp3,C3Cl,0.8,21,8,[CH0$([#6]([#6])([#6])([#6])Cl)],,
51,C sp3,C3Br,0.59,5,4,[CH0$([#6]([#6])([#6])([#6])Br)],,
52,C sp3,C2N2,-1.17,1,1,[CH0$([#6]([#6])([#6])([#7])[#7])],,
53,C sp3,C2NO,0.52,5,5,[CH0$([#6]([#6])([#6])([#7])[#8])],,
54,C sp3,C2O2,1.65,5,5,[CH0$([#6]([#6])([#6])([#8])[#8])],,
55,C sp3,C2F2,0.67,2,2,[CH0$([#6]([#6])([#6])(F)F)],,
56,C sp3,C2Cl2,0.84,9,9,[CH0$([#6]([#6])([#6])(Cl)Cl)],,
57,C sp3,CNO2,1.46,1,1,[CH0$([#6]([#6])([#6])([#7])([#8])[#8])],,
58,C sp3,CF3,0.86,80,76,[CH0$([#6]([#6])(F)(F)F)],,
59,C sp3,CF2Cl,1.1,3,2,[CH0$([#6]([#6])(F)(F)Cl)],,
60,C sp3,CFCl2,1.1,3,2,[CH0$([#6]([#6])(F)(Cl)Cl)],,
61,C sp3,CCl3,1.6,23,21,[CH0$([#6]([#6])(Cl)(Cl)Cl)],,
62,C sp3,CCl2Br,0,1,1,[CH0$([#6]([#6])(Cl)(Cl)Br)],,
63,C sp3,CBr3,2.44,1,1,[CH0$([#6]([#6])(Br)(Br)Br)],,
64,C sp3,OF3,0.8,2,2,[CH0$([#6]([#8])(F)(F)F)],,
65,C sp3,SF3,1.04,8,8,[CH0$([#6]([#16])(F)(F)F)],,
66,C sp3,SFCl2,1.9,1,1,[CH0$([#6]([#16])(F)(Cl)Cl)],,
67,C sp3,SCl3,0.76,3,3,[CH0$([#6]([#16])(Cl)(Cl)Cl)],,
68,C sp2,H2=C,0.25,97,87,"[CH2$([#6]=,:[#6])]",,
69,C sp2,H2=N,-0.62,1,1,"[CH2$([#6]=,:[#7])]",,
70,C sp2,HC=C,0.24,449,285,"[CH1$([#6]([#6])=,:[#6])]",,
71,C sp2,HC=N,-1.98,18,18,"[CH1$([#6]([#6])=,:[#7])]",,
72,C sp2,HC=N(+),0.94,10,10,[CH1$([#6]([#6])=[N+])],,
73,C sp2,H=CN,-0.08,146,109,"[CH1$([#6](=,:[#6])[#7])]",,
