Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
1,Const,,0.5808300089401115,3332,3332,,,
2,B(),F4,1.324419128210707,4,4,[B$(B(F)(F)(F)F)],,
3,C sp3,H3C,0.12264374799205537,2597,1479,[CH3$([#6][#6])],,
4,C sp3,H3N,-0.018146935299183074,438,300,[CH3$([#6][#7])],,
5,C sp3,H3N(+),-0.6503342321254513,2,2,[CH3$([#6][N+])],,
6,C sp3,H3O,-0.08490365503818038,373,283,[CH3$([#6][#8])],,
7,C sp3,H3P,-0.7289124462016776,4,4,[CH3$([#6][#15])],,
8,C sp3,H3S,-0.22572312094555505,61,53,[CH3$([#6][#16])],,
9,C sp3,H3Si,0.07102190642884026,46,6,[CH3$([#6][#14])],,
10,C sp3,H2C2,0.17620986018299745,3194,1031,[CH2$([#6]([#6])[#6])],,
11,C sp3,H2CN,-0.017473857441242704,754,429,[CH2$([#6]([#6])[#7])],,
12,C sp3,H2CN(+),-0.3437405592561608,25,19,[CH2$([#6]([#6])[N+])],,
13,C sp3,H2CO,-0.15873775402431084,799,604,[CH2$([#6]([#6])[#8])],,
14,C sp3,H2CS,-0.45300794584886317,97,69,[CH2$([#6]([#6])[#16])],,
15,C sp3,H2CF,-0.46663228634258813,5,5,[CH2$([#6]([#6])F)],,
16,C sp3,H2CCl,0.09742353732594687,84,67,[CH2$([#6]([#6])Cl)],,
17,C sp3,H2CBr,0.09505420154631793,54,48,[CH2$([#6]([#6])Br)],,
18,C sp3,H2CJ,0.5072889125891287,6,6,[CH2$([#6]([#6])I)],,
19,C sp3,H2CP,0.4361986719285985,1,1,[CH2$([#6]([#6])[#15])],,
20,C sp3,H2N2,0.33335168782471325,3,3,[CH2$([#6]([#7])[#7])],,
21,C sp3,H2NO,0.2963127208278446,4,4,[CH2$([#6]([#7])[#8])],,
22,C sp3,H2NS,-0.3873900278832077,3,3,[CH2$([#6]([#7])[#16])],,
23,C sp3,H2O2,-0.23135981811124318,6,6,[CH2$([#6]([#8])[#8])],,
24,C sp3,H2S2,-0.885846162373601,8,7,[CH2$([#6]([#16])[#16])],,
