Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
1,Const,,1.4577247014058736,1900,1900,,,
2,C sp3,H3C,-0.09946557059964117,1864,905,[CH3$([#6][#6])],,
3,C sp3,H3N,0.06591625704969907,156,105,[CH3$([#6][#7])],,
4,C sp3,H3N(+),0.03547383276459467,1,1,[CH3$([#6][N+])],,
5,C sp3,H3O,-0.03351010025775953,303,227,[CH3$([#6][#8])],,
6,C sp3,H3S,-0.056055229926237016,36,31,[CH3$([#6][#16])],,
7,C sp3,H3P,-1.0279460776119642,3,3,[CH3$([#6][#15])],,
8,C sp3,H3Si,-0.01145755999674719,69,12,[CH3$([#6][#14])],,
9,C sp3,H2C2,0.1264858269567621,1773,551,[CH2$([#6]([#6])[#6])],,
10,C sp3,H2CN,0.07791308150902981,209,144,[CH2$([#6]([#6])[#7])],,
11,C sp3,H2CN(+),0.056119371090699546,6,5,[CH2$([#6]([#6])[N+])],,
12,C sp3,H2CO,0.10233053705454209,559,361,[CH2$([#6]([#6])[#8])],,
13,C sp3,H2CS,0.12963649142318673,62,48,[CH2$([#6]([#6])[#16])],,
14,C sp3,H2CP,0.8739224058724815,3,3,[CH2$([#6]([#6])[#15])],,
15,C sp3,H2CF,-0.8771054816935422,3,3,[CH2$([#6]([#6])F)],,
16,C sp3,H2CCl,0.2047982930740053,75,56,[CH2$([#6]([#6])Cl)],,
17,C sp3,H2CBr,0.3185265410761463,23,18,[CH2$([#6]([#6])Br)],,
18,C sp3,H2CJ,-0.11924405389806758,5,5,[CH2$([#6]([#6])I)],,
19,C sp3,H2CSi,0.46801743143798913,4,4,[CH2$([#6]([#6])[#14])],,
20,C sp3,H2N2,1.325386573281699,8,3,[CH2$([#6]([#7])[#7])],,
21,C sp3,H2NO,-0.1251813471404894,9,8,[CH2$([#6]([#7])[#8])],,
22,C sp3,H2NS,-0.9526518730203862,5,5,[CH2$([#6]([#7])[#16])],,
23,C sp3,H2O2,-0.12441699786305996,6,4,[CH2$([#6]([#8])[#8])],,
24,C sp3,H2S2,0.6273962795105015,4,4,[CH2$([#6]([#16])[#16])],,
25,C sp3,HC3,0.19316989394579032,276,184,[CH1$([#6]([#6])([#6])[#6])],,
26,C sp3,HC2N,0.2909343874813231,67,56,[CH1$([#6]([#6])([#6])[#7])],,
27,C sp3,HC2N(+),0.16318096411967695,1,1,[CH1$([#6]([#6])([#6])[N+])],,
28,C sp3,HC2O,0.21574792609226567,175,140,[CH1$([#6]([#6])([#6])[#8])],,
29,C sp3,HC2S,0.02237372251648625,9,7,[CH1$([#6]([#6])([#6])[#16])],,
30,C sp3,HC2F,-1.2782277672473337,1,1,[CH1$([#6]([#6])([#6])F)],,
31,C sp3,HC2Cl,0.6231308797887922,45,19,[CH1$([#6]([#6])([#6])Cl)],,
32,C sp3,HC2Br,0.4832352099049572,14,9,[CH1$([#6]([#6])([#6])Br)],,
33,C sp3,HC2J,0.6017245700088338,1,1,[CH1$([#6]([#6])([#6])I)],,
34,C sp3,HCNO,1.819745082052528,3,3,[CH1$([#6]([#6])([#7])[#8])],,
35,C sp3,HCNS,-2.595091738515576,1,1,[CH1$([#6]([#6])([#7])[#16])],,
36,C sp3,HCO2,0.771294680222075,7,7,[CH1$([#6]([#6])([#8])[#8])],,
37,C sp3,HCF2,-0.06378363311448283,7,7,[CH1$([#6]([#6])(F)F)],,
38,C sp3,HCFCl,-0.23964405155163734,2,2,[CH1$([#6]([#6])(F)Cl)],,
39,C sp3,HCCl2,0.3740488448034962,16,15,[CH1$([#6]([#6])(Cl)Cl)],,
40,C sp3,HCClBr,-0.2627822455195004,1,1,[CH1$([#6]([#6])(Cl)Br)],,
41,C sp3,HOF2,-0.6185574093485074,4,4,[CH1$([#6]([#8])(F)F)],,
42,C sp3,C4,0.5460549737567113,103,89,[CH0$([#6]([#6])([#6])([#6])[#6])],,
43,C sp3,C3N,0.8504233659301937,13,13,[CH0$([#6]([#6])([#6])([#6])[#7])],,
44,C sp3,C3O,0.3406314422826293,43,40,[CH0$([#6]([#6])([#6])([#6])[#8])],,
45,C sp3,C3S,1.0248454995396032,3,3,[CH0$([#6]([#6])([#6])([#6])[#16])],,
46,C sp3,C3Cl,0.26382475597477434,39,16,[CH0$([#6]([#6])([#6])([#6])Cl)],,
47,C sp3,C2NO,-0.5517038694964443,1,1,[CH0$([#6]([#6])([#6])([#7])[#8])],,
48,C sp3,C2O2,0.6540510697871702,6,6,[CH0$([#6]([#6])([#6])([#8])[#8])],,
49,C sp3,C2F2,0.24735321212750525,88,15,[CH0$([#6]([#6])([#6])(F)F)],,
50,C sp3,C2Cl2,0.5526861116781686,19,18,[CH0$([#6]([#6])([#6])(Cl)Cl)],,
51,C sp3,CNO2,0.0,0,0,[CH0$([#6]([#6])([#6])([#7])([#8])[#8])],,
52,C sp3,COF2,0.8134173117214878,3,3,[CH0$([#6]([#6])([#8])(F)F)],,
53,C sp3,CF3,0.1555523636569198,62,58,[CH0$([#6]([#6])(F)(F)F)],,
54,C sp3,CF2Cl,-0.24043388519708303,4,3,[CH0$([#6]([#6])(F)(F)Cl)],,
55,C sp3,CFCl2,-0.24127849629259576,3,2,[CH0$([#6]([#6])(F)(Cl)Cl)],,
56,C sp3,CCl3,0.6328382008096536,20,19,[CH0$([#6]([#6])(Cl)(Cl)Cl)],,
57,C sp3,CBr3,-1.1187442547850992,1,1,[CH0$([#6]([#6])(Br)(Br)Br)],,
58,C sp3,O2F2,2.948849010826777,1,1,[CH0$([#6]([#8])([#8])(F)F)],,
59,C sp3,OF3,-0.29726081500704055,3,3,[CH0$([#6]([#8])(F)(F)F)],,
60,C sp2,H2=C,-0.3375383960431698,89,77,"[CH2$([#6]=,:[#6])]",,
61,C sp2,HC=C,0.12058270142505709,206,124,"[CH1$([#6]([#6])=,:[#6])]",,
62,C sp2,HC=N,-1.4225223937813516,4,4,"[CH1$([#6]([#6])=,:[#7])]",,
63,C sp2,HC=O,0.23651072814652266,27,27,[CH1$([#6]([#6])=[#8])],,
64,C sp2,H=CN,0.0,0,0,"[CH1$([#6](=,:[#6])[#7])]",,
65,C sp2,H=CO,-0.5098666086534059,7,7,"[CH1$([#6](=,:[#6])[#8])]",,
66,C sp2,H=CS,0.0,0,0,"[CH1$([#6](=,:[#6])[#16])]",,
67,C sp2,H=CCl,-0.04662771733885244,12,10,"[CH1$([#6](=,:[#6])Cl)]",,
68,C sp2,H=CBr,-0.11641809758088323,3,2,"[CH1$([#6](=,:[#6])Br)]",,
69,C sp2,H=CSi,-0.16655522895369643,1,1,"[CH1$([#6](=,:[#6])[#14])]",,
70,C sp2,HN=N,-1.1979032251446253,2,2,"[CH1$([#6]([#7])=,:[#7])]",,
71,C sp2,HN=O,0.4964998466871381,3,3,[CH1$([#6]([#7])=[#8])],,
72,C sp2,HO=O,-0.33307862988507436,4,4,[CH1$([#6]([#8])=[#8])],,
73,C sp2,H=NS,0.0,0,0,"[CH1$([#6](=,:[#7])[#16])]",,
74,C sp2,C2=C,0.4172376610536529,84,65,"[CH0$([#6]([#6])([#6])=,:[#6])]",,
75,C sp2,C2=N,0.23114717220111364,23,19,"[CH0$([#6]([#6])([#6])=,:[#7])]",,
76,C sp2,C=CN,-0.5295254899064133,2,2,"[CH0$([#6]([#6])(=,:[#6])[#7])]",,
77,C sp2,C2=O,0.28089503877894806,84,73,[CH0$([#6]([#6])([#6])=[#8])],,
78,C sp2,C=CO,-0.07092864953691874,12,12,"[CH0$([#6]([#6])(=,:[#6])[#8])]",,
79,C sp2,C=CP,-1.5844222139849848,1,1,"[CH0$([#6]([#6])(=,:[#6])[#15])]",,
80,C sp2,C=CS,1.0534135183830153,1,1,"[CH0$([#6]([#6])(=,:[#6])[#16])]",,
81,C sp2,C=CCl,0.08038360246747323,36,20,"[CH0$([#6]([#6])(=,:[#6])Cl)]",,
82,C sp2,C=CBr,0.0,0,0,"[CH0$([#6]([#6])(=,:[#6])Br)]",,
83,C sp2,=CN2,0.0,0,0,"[CH0$([#6](=,:[#6])([#7])[#7])]",,
84,C sp2,CN=N,0.0,0,0,"[CH0$([#6]([#6])([#7])=,:[#7])]",,
85,C sp2,CN=O,0.6781829364158303,90,82,[CH0$([#6]([#6])([#7])=[#8])],,
86,C sp2,C=NO,-0.2692413760023268,2,2,"[CH0$([#6]([#6])(=,:[#7])[#8])]",,
87,C sp2,=CNO,0.0,0,0,"[CH0$([#6](=,:[#6])([#7])[#8])]",,
88,C sp2,C=NS,-0.6401180924637802,4,3,"[CH0$([#6]([#6])(=,:[#7])[#16])]",,
89,C sp2,=CNCl,0.0,0,0,"[CH0$([#6](=,:[#6])([#7])Cl)]",,
90,C sp2,CO=O,0.21454068166223175,250,216,[CH0$([#6]([#6])([#8])=[#8])],,
91,C sp2,C=OS,0.41099249817601435,4,3,[CH0$([#6]([#6])(=[#8])[#16])],,
92,C sp2,=CS2,2.0762768914043432,1,1,"[CH0$([#6](=,:[#6])([#16])[#16])]",,
93,C sp2,=CF2,-1.1718376337390388,1,1,"[CH0$([#6](=,:[#6])(F)F)]",,
94,C sp2,=CCl2,0.2601918466205998,16,14,"[CH0$([#6](=,:[#6])(Cl)Cl)]",,
95,C sp2,N2=N,0.4872879834411246,2,2,"[CH0$([#6]([#7])([#7])=,:[#7])]",,
96,C sp2,N2=O,0.47855306517451407,40,40,[CH0$([#6]([#7])([#7])=[#8])],,
97,C sp2,N=NO,0.0,0,0,"[CH0$([#6]([#7])(=,:[#7])[#8])]",,
98,C sp2,N=NS,-1.354797205528264,2,2,"[CH0$([#6]([#7])(=,:[#7])[#16])]",,
99,C sp2,NO=O,0.4623348906946124,41,37,[CH0$([#6]([#7])([#8])=[#8])],,
100,C sp2,N=OS,0.9832258057735492,14,14,[CH0$([#6]([#7])(=[#8])[#16])],,
101,C sp2,NO=S,0.9460894648586716,1,1,[CH0$([#6]([#7])([#8])=[#16])],,
102,C sp2,=NOS,0.0,0,0,"[CH0$([#6](=,:[#7])([#8])[#16])]",,
103,C sp2,NS=S,1.2471072348491532,3,2,[CH0$([#6]([#7])([#16])=[#16])],,
104,C sp2,=NSCl,0.0,0,0,"[CH0$([#6](=,:[#7])([#16])Cl)]",,
105,C sp2,O2=O,0.5406951355561651,3,3,[CH0$([#6]([#8])([#8])=[#8])],,
106,C aromatic,H:C2,0.08098522858202697,5600,1181,[cH1$(c(c)c)],,
107,C aromatic,H:C:N,0.09295256619735986,107,67,[cH1$(c(c)n)],,
108,C aromatic,H:N2,-0.2247052327670759,59,35,[cH1$(c(n)n)],,
109,C aromatic,:C3,0.3536059952391217,904,366,[cH0$(c(c)(c)c)],,
110,C aromatic,C:C2,0.1915434971620892,744,470,[cH0$(c(C)(c)c)],,
111,C aromatic,C:C:N,-0.1300683711781456,62,49,[cH0$(c(C)(c)n)],,
112,C aromatic,:C2N,0.21558887568804327,250,201,[cH0$(c(c)(c)N)],,
113,C aromatic,:C2N(+),0.029225735437053892,96,69,[cH0$(c(c)(c)[N+])],,
114,C aromatic,:C2:N,0.15367306107103976,64,48,[cH0$(c(c)(c)n)],,
115,C aromatic,:C2O,0.14495880158068117,718,428,[cH0$(c(c)(c)O)],,
116,C aromatic,:C2P,0.821940213489987,5,3,[cH0$(c(c)(c)P)],,
117,C aromatic,:C2S,0.30648293506512325,36,32,[cH0$(c(c)(c)S)],,
118,C aromatic,:C2Si,0.6883887451585906,3,2,[cH0$(c(c)(c)[#14])],,
119,C aromatic,:C2F,0.011759285965252844,102,43,[cH0$(c(c)(c)F)],,
120,C aromatic,:C2Cl,0.2579896244693826,1869,569,[cH0$(c(c)(c)Cl)],,
121,C aromatic,:C2Br,0.3302294293806228,413,152,[cH0$(c(c)(c)Br)],,
122,C aromatic,:C2J,0.5062898484957283,10,9,[cH0$(c(c)(c)I)],,
123,C aromatic,C:N2,-0.47420269655125763,14,14,[cH0$(c(C)(n)n)],,
124,C aromatic,:CN:N,0.11224647954381309,6,6,[cH0$(c(c)(N)n)],,
125,C aromatic,:C:NO,-0.2098318112132088,37,33,[cH0$(c(c)(n)O)],,
126,C aromatic,:C:NCl,0.276014357972814,22,17,[cH0$(c(c)(n)Cl)],,
127,C aromatic,N:N2,-0.3828145590602974,66,42,[cH0$(c(N)(n)n)],,
128,C aromatic,:N2O,-0.1970978860797008,16,16,[cH0$(c(n)(n)O)],,
129,C aromatic,:N2S,-0.2021951756829781,12,12,[cH0$(c(n)(n)S)],,
130,C aromatic,:N2Cl,-0.55273911563202,9,8,[cH0$(c(n)(n)Cl)],,
131,C sp,H#C,-0.5228922740607264,18,17,[CH1$([#6]#[#6])],,
132,C sp,C#C,0.4180419395572262,18,17,[C$([#6]([#6])#[#6])],,
133,C sp,C#N,0.2083957894933928,47,44,[C$([#6]([#6])#[#7])],,
134,C sp,N#N,3.5189234892243166,1,1,[C$([#6]([#7])#[#7])],,
135,C sp,#NP,0.10572453341559666,1,1,[C$([#6](#[#7])[#15])],,
136,C sp,=N=S,-2.0155803434609734,2,2,"[C$([#6](=,:[#7])=[#16])]",,
137,N sp3,H2C,-0.3030346932362808,17,16,[NH2$([#7][CX4])],,
138,N sp3,H2C(pi),0.9087741540744426,61,57,[NH2$([#7]([#6]))],1.0,
139,N sp3,H2N,1.1362406854582292,5,5,[NH2$([#7][#7])],,
140,N sp3,H2S,1.8011943455812784,1,1,[NH2$([#7][#16])],,
141,N sp3,HC2,-0.1529117994346412,12,11,[NH1$([#7]([CX4])[CX4])],0.0,
142,N sp3,HC2(pi),0.5487349252479272,94,71,[NH1$([#7]([#6])([#6]))],1.0,
143,N sp3,HC2(2pi),0.6683233922760689,60,52,[NH1$([#7]([#6])([#6]))],2.0,
144,N sp3,HCN(pi),-0.016197874511892488,5,4,[NH1$([#7]([#6])[#7])],1.0,
145,N sp3,HCN(2pi),-0.05643977854255112,1,1,[NH1$([#7]([#6])[#7])],2.0,
146,N sp3,HCO(pi),0.0,0,0,[NH1$([#7]([#6])[#8])],1.0,
147,N sp3,HCP,0.2717052697610087,3,3,[NH1$([#7]([#6])[#15])],0.0,
148,N sp3,HCP(pi),1.3582258660454376,1,1,[NH1$([#7]([#6])[#15])],1.0,
149,N sp3,HCS(pi),-0.12022427795784744,11,11,[NH1$([#7]([#6])[#16])],1.0,
150,N sp3,C3,0.13101966648146932,17,17,[NH0$([#7]([CX4])([CX4])[CX4])],0.0,
151,N sp3,C3(pi),0.6963766195744848,58,55,[NH0$([#7]([#6])([#6])[#6])],1.0,
152,N sp3,C3(2pi),0.07506003659155668,30,30,[NH0$([#7]([#6])([#6])[#6])],2.0,
153,N sp3,C3(3pi),-0.43367997182105017,6,6,[NH0$([#7]([#6])([#6])[#6])],3.0,
154,N sp3,C2N,0.7753324569086654,1,1,[NH0$([#7]([CX4])([CX4])[#7])],0.0,
155,N sp3,C2N(pi),0.2672170015806672,20,15,[NH0$([#7]([#6])([#6])[#7])],1.0,
156,N sp3,C2N(+)(pi),-0.5475131121182295,7,2,[NH0$([#7]([#6])([#6])[#7+])],1.0,
157,N sp3,C2N(2pi),-0.8772608953505909,2,2,[NH0$([#7]([#6])([#6])[#7])],2.0,
158,N sp3,C2N(3pi),0.0,0,0,[NH0$([#7]([#6])([#6])[#7])],3.0,
159,N sp3,C2P,0.10572453341559666,1,1,[NH0$([#7]([CX4])([CX4])[#15])],0.0,
160,N sp3,C2P(pi),0.4393770375772409,1,1,[NH0$([#7]([#6])([#6])[#15])],1.0,
161,N sp3,C2P(2pi),-0.33755617566083895,1,1,[NH0$([#7]([#6])([#6])[#15])],2.0,
162,N sp2,H=C,0.46422731898722774,1,1,"[NH1$([#7]=,:[#6])]",,
163,N sp2,C=C,1.6012554681295967,9,9,"[NH0$([#7]([#6])=,:[#6])]",,
164,N sp2,C=N,0.9545072525554323,4,2,"[NH0$([#7]([#6])=,:[#7])]",,
165,N sp2,=CN,1.349832815295926,4,4,"[NH0$([#7](=,:[#6])[#7])]",,
166,N sp2,=CN(+),0.4872879834411246,2,2,"[NH0$([#7](=,:[#6])[N+])]",,
167,N sp2,=CO,-0.6185784752481205,29,24,"[NH0$([#7](=,:[#6])[#8])]",,
168,N sp2,N=N,0.0,0,0,"[NH0$([#7]([#7])=,:[#7])]",,
169,N sp2,N=O,0.27854810146214676,22,17,[NH0$([#7]([#7])=[#8])],,
170,N aromatic,:C2,0.2810310057448158,311,192,[n$(n(c)c)],,
171,N aromatic,:C:N,-0.04960256358570995,124,62,[n$(n(c)n)],,
172,N(+) sp2,CO=O(-),0.04968464022121085,107,79,[N+$([#7]([#6])(=[#8])[O-])],,
173,N(+) sp2,NO=O(-),-0.47110922933744825,9,4,[N+$([#7]([#7])(=[#8])[O-])],,
174,N(+) sp2,O2=O(-),0.08814720934785697,64,36,[N+$([#7]([#8])(=[#8])[O-])],,
175,O,HC,0.5493876381276176,148,125,[OH1$([#8][CX4])],0.0,
176,O,HC(pi),0.9393208347342654,177,161,[OH1$([#8][#6])],1.0,
177,O,HN(pi),0.9500204299716611,2,2,[OH1$([#8][#7])],1.0,
178,O,HP,0.8347521044673002,4,2,[OH1$([#8][#15])],,
179,O,HSi,1.1223497655079437,3,2,[OH1$([#8][#14])],,
180,O,C2,-0.01513627006646886,144,110,[OH0$([#8]([CX4])[CX4])],0.0,
181,O,C2(pi),-0.05770660190029747,414,332,[OH0$([#8]([#6])[#6])],1.0,
182,O,C2(2pi),0.2431076277928068,213,186,[OH0$([#8]([#6])[#6])],2.0,
183,O,CN(pi),-0.13051458634362675,82,50,[OH0$([#8]([#6])[#7])],1.0,
184,O,CN(+)(pi),0.22449090769142224,63,35,[OH0$([#8]([#6])[#7+])],1.0,
185,O,CN(2pi),1.744996135237384,7,6,[OH0$([#8]([#6])[#7])],2.0,
186,O,CO(pi),-0.6305258405139824,3,2,[OH0$([#8]([#6])[#8])],1.0,
187,O,CS,-1.2345906647799927,14,9,[OH0$([#8]([#6])[#16])],,
188,O,CP,0.35172047863872924,193,97,[OH0$([#8]([CX4])[#15])],,
189,O,CP(pi),-0.05797717698859964,70,54,[OH0$([#8]([#6])[#15])],1.0,
190,O,CSi,0.1309717640617292,9,3,[OH0$([#8]([#6])[#14])],,
191,O,NP(pi),1.2377370737674462,1,1,[OH0$([#8]([#7])[#15])],1.0,
192,O,P2,0.3625380724850604,1,1,[OH0$([#8]([#15])[#15])],,
193,O,Si2,0.019099222161976123,21,6,[OH0$([#8]([#14])[#14])],,
194,P4,C3=O,-1.4029926425628034,1,1,[PH0$([#15]([#6])([#6])([#6])=[#8])],,
195,P4,CNO=O,0.10572453341559666,1,1,[PH0$([#15]([#6])([#7])([#8])=[#8])],,
196,P4,CO2=O,2.229433522745296,4,4,[PH0$([#15]([#6])([#8])([#8])=[#8])],,
197,P4,CO2=S,0.01001377779962301,3,3,[PH0$([#15]([#6])([#8])([#8])=[#16])],,
198,P4,CO=OS,2.054731084570733,1,1,[PH0$([#15]([#6])([#8])(=[#8])[#16])],,
199,P4,CO=OF,2.2222384546569116,1,1,[PH0$([#15]([#6])([#8])(=[#8])F)],,
200,P4,COS=S,-0.03178314943666517,1,1,[PH0$([#15]([#6])([#8])(=[#16])[#16])],,
201,P4,NO2=O,1.1531533033169665,1,1,[PH0$([#15]([#8])([#7])([#8])=[#8])],,
202,P4,NO2=S,-0.22569981228176822,3,3,[PH0$([#15]([#8])([#7])([#8])=[#16])],,
203,P4,NO=OS,0.8992551627914672,2,2,[PH0$([#15]([#7])([#8])(=[#8])[#16])],,
204,P4,O3=O,0.5059997654359304,30,30,[PH0$([#15]([#8])([#8])([#8])=[#8])],,
205,P4,O3=S,-0.07867992291712178,33,31,[PH0$([#15]([#8])([#8])([#8])=[#16])],,
206,P4,O2=OS,0.0,0,0,[PH0$([#15]([#8])([#8])(=[#8])=[#16])],,
207,P4,O2=OF,0.07342415969478709,1,1,[PH0$([#15]([#8])([#8])(=[#8])F)],,
208,P4,O=OS2,1.121612399191253,3,3,[PH0$([#15]([#8])([#16])(=[#8])[#16])],,
209,P4,O2S=S,-0.5056329386823057,19,18,[PH0$([#15]([#8])([#8])([#16])=[#16])],,
210,P4,=OS3,0.5916614208344996,1,1,[PH0$([#15](=[#8])([#16])([#16])[#16])],,
211,S2,HC,0.12994523897388058,2,2,[SH1$([#16][CX4])],,
212,S2,HC(pi),0.4853943697785605,1,1,[SH1$([#16][#6])],1.0,
213,S2,C2,1.1022123333708531,14,14,[SH0$([#16]([CX4])[CX4])],0.0,
214,S2,C2(pi),1.0411252331456142,18,18,[S$([#16]([#6])[#6])],1.0,
215,S2,C2(2pi),0.5166125030995308,5,5,[SH0$([#16]([#6])[#6])],2.0,
216,S2,CS,0.6808771209918683,4,2,[SH0$([#16]([CX4])[#16])],0.0,
217,S2,CS(pi),0.0,0,0,[SH0$([#16]([#6])[#16])],1.0,
218,S2,CP,1.098238135054898,34,29,[SH0$([#16]([CX4])[#15])],0.0,
219,S2,CP(pi),0.7197662487786843,3,2,[SH0$([#16]([#6])[#15])],1.0,
220,S4,C2=O,0.012725266577998863,6,6,[SH0$([#16]([#6])([#6])=[#8])],,
221,S4,C2=O2,-0.9340054862317138,3,3,[SH0$([#16]([#6])([#6])(=[#8])=[#8])],,
222,S4,CN=O2,-0.22420027870246015,17,17,[SH0$([#16]([#6])([#7])(=[#8])=[#8])],,
223,S4,CO=O2,1.8774590850836967,3,3,[SH0$([#16]([#6])([#8])(=[#8])=[#8])],,
224,S4,O2=O,2.918324848437915,5,5,[SH0$([#16]([#8])([#8])=[#8])],,
225,S4,O2=O2,0.06715493663590297,3,3,[SH0$([#16]([#8])([#8])(=[#8])=[#8])],,
226,S6,CF5,1.8876782229782731,3,3,[SH0$([#16]([#6])(F)(F)(F)(F)F)],,
227,Si,C4,-0.10353305015538153,4,4,[#14$([#14]([#6])([#6])([#6])[#6])],,
228,Si,C3O,0.032295377087197916,7,4,[#14$([#14]([#6])([#6])([#6])[#8])],,
229,Si,C2O2,0.052254229133588646,19,6,[#14$([#14]([#6])([#6])([#8])[#8])],,
230,Si,CO3,0.3929152921851864,3,3,[#14$([#14]([#6])([#8])([#8])[#8])],,
231,H,H Acceptor,0.08161384361293364,327,327,,,_count_h_acceptor
232,(COH)n,n > 1,0.22044005834678204,30,23,,,_count_coh
233,(COOH)n,n > 1,0.9793985637368845,6,6,,,_count_cooh
234,Alkane,No. of C atoms,-0.04803246670726233,189,24,,,_count_alkane_carbons
235,Unsaturated HC,No. of C atoms,-0.033050278428571264,1512,140,,,_count_unsaturated_hc_carbons
236,Endocyclic bonds,No. of single bds,-0.0942621912411574,1182,243,,,_count_endocyclic_single_bonds
237,Crippen C1,SMARTS 1,-1.9171555283859092,1,1,[CH4],,
238,Crippen C1,SMARTS 2,-0.11326892316332896,1561,766,[CH3]C,,
239,Crippen C1,SMARTS 3,0.1351647085691096,1660,496,[CH2](C)C,,
240,Crippen C2,SMARTS 1,0.2597560837391597,231,149,[CH](C)(C)C,,
241,Crippen C2,SMARTS 2,-0.05413825741623244,60,53,[C](C)(C)(C)C,,
242,Crippen C3,SMARTS 1,-0.07655803091773615,481,331,"[CH3][N,O,P,S,F,Cl,Br,I]",,
243,Crippen C3,SMARTS 2,0.10705010867322971,905,519,"[CH2X4]([N,O,P,S,F,Cl,Br,I])[A;!#1]",,
244,Crippen C4,SMARTS 1,0.15413757500949565,334,244,"[CH1X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])[A;!#1]",,
245,Crippen C4,SMARTS 2,0.15611288879184052,280,137,"[CH0X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])([A;!#1])[A;!#1]",,
246,Crippen C5,SMARTS 1,0.22421646199871156,610,489,[C]=[!C;A;!#1],,
247,Crippen C6,SMARTS 1,-0.016411185812606106,88,77,[CH2]=C,,
248,Crippen C6,SMARTS 2,0.09228664352438753,218,135,[CH1](=C)[A;!#1],,
249,Crippen C6,SMARTS 3,0.22565804192381267,142,95,[CH0](=C)([A;!#1])[A;!#1],,
250,Crippen C6,SMARTS 4,0.0,0,0,[C](=C)=C,,
251,Crippen C7,SMARTS 1,0.043077261684905964,68,65,[CX2]#[A;!#1],,
252,Crippen C8,SMARTS 1,0.07430224370981953,302,196,[CH3]c,,
253,Crippen C9,SMARTS 1,0.009644458939859215,323,208,[CH3]a,,
254,Crippen C10,SMARTS 1,0.27921669109160824,182,149,[CH2X4]a,,
255,Crippen C11,SMARTS 1,0.4044075696655384,85,70,[CHX4]a,,
256,Crippen C12,SMARTS 1,0.20537969792096328,106,91,[CH0X4]a,,
257,Crippen C13,SMARTS 1,0.7809377299477293,8,5,[cH0]-[A;!C;!N;!O;!S;!F;!Cl;!Br;!I;!#1],,
258,Crippen C14,SMARTS 1,0.11397357812086324,107,48,[c][#9],,
259,Crippen C15,SMARTS 1,0.2577598241156014,1902,587,[c][#17],,
260,Crippen C16,SMARTS 1,0.2909633994108703,416,152,[c][#35],,
261,Crippen C17,SMARTS 1,0.5062898484957283,10,9,[c][#53],,
262,Crippen C18,SMARTS 1,0.07618557074604916,5785,1194,[cH],,
263,Crippen C19,SMARTS 1,0.34989467433371396,649,212,[c](:a)(:a):a,,
264,Crippen C20,SMARTS 1,0.23255407800069933,413,201,[c](:a)(:a)-a,,
265,Crippen C21,SMARTS 1,0.2570093348325435,846,520,[c](:a)(:a)-C,,
266,Crippen C22,SMARTS 1,0.17260330735748533,324,247,[c](:a)(:a)-N,,
267,Crippen C23,SMARTS 1,0.14884738837068093,776,467,[c](:a)(:a)-O,,
268,Crippen C24,SMARTS 1,0.18480001775192792,48,42,[c](:a)(:a)-S,,
269,Crippen C25,SMARTS 1,0.4154551320380197,38,33,"[c](:a)(:a)=[C,N,O]",,
270,Crippen C26,SMARTS 1,0.49374055769180425,10,9,[C](=C)(a)[A;!#1],,
271,Crippen C26,SMARTS 2,0.4593474192948367,2,2,[C](=C)(c)a,,
272,Crippen C26,SMARTS 3,0.41848103457107955,11,9,[CH1](=C)a,,
273,Crippen C26,SMARTS 4,0.0,0,0,[C]=c,,
274,Crippen C27,SMARTS 1,0.010904651690822298,74,14,[CX4][A;!C;!N;!O;!P;!S;!F;!Cl;!Br;!I;!#1],,
275,Crippen CS,SMARTS 1,0.164769535145087,18761,1983,[#6],,
276,Crippen H1,SMARTS 1,0.0,0,0,"[#1][#6,#1]",,
277,Crippen H2,SMARTS 1,0.0,0,0,"[#1]O[CX4,c]",,
278,Crippen H2,SMARTS 2,0.0,0,0,[#1]O[!C;!N;!O;!S],,
279,Crippen H2,SMARTS 3,0.0,0,0,[#1][!C;!N;!O],,
280,Crippen H3,SMARTS 1,0.46422731898722774,1,1,[#1][#7],,
281,Crippen H3,SMARTS 2,0.0,0,0,[#1]O[#7],,
282,Crippen H4,SMARTS 1,0.0,0,0,"[#1]OC=[#6,#7,O,S]",,
283,Crippen H4,SMARTS 2,0.0,0,0,"[#1]O[O,S]",,
284,Crippen HS,SMARTS 1,0.46422731898722774,1,1,[#1],,
285,Crippen N1,SMARTS 1,1.351326943176683,25,24,[NH2+0][A;!#1],,
286,Crippen N2,SMARTS 1,0.8012615131113142,75,72,[NH+0]([A;!#1])[A;!#1],,
287,Crippen N3,SMARTS 1,0.4091358980407459,59,55,[NH2+0]a,,
